65 11
66 0
71 65288
72 0
69 65283
63 18
67 65282
63 65532
68 2
67 0
46 65293
68 4
52 0
74 251
63 9
61 65292
52 12
57 2
68 65282
72 2
70 65535
52 7
56 246
63 8
59 65533
64 2
60 6
58 0
65 65292
74 65290
66 252
65 65530
63 65531
50 11
63 1
59 4
66 250
70 65281
54 1
59 6
62 65528
61 5
57 1
58 7
74 1
58 8
64 65521
67 65535
66 65285
69 1
54 252
62 14
73 65532
59 0
59 3
69 20
74 65289
61 8
59 7
58 251
58 65287
65 7
54 65281
64 246
65 65529
68 65535
62 15
69 7
62 5
60 4
71 8
61 6
61 65281
71 250
61 65531
65 9
67 2
70 65529
56 254
76 65526
68 65530
67 65283
64 2
62 10
74 0
51 250
59 65286
65 65282
67 9
52 65300
64 8
54 65530
72 2
68 65286
62 0
72 254
64 65533
69 18
64 2
58 5
56 250
66 253
55 65285
64 65535
60 65535
71 65282
59 1
64 65535
57 2
69 3
63 0
70 252
57 2
59 5
63 65535
66 5
56 65296
65 65524
63 1
57 253
66 2
70 9
74 4
66 11
73 65532
62 13
63 6
70 246
67 12
81 11
59 2
66 6
57 5
71 5
67 9
48 65534
70 5
69 255
58 3
66 65534
68 19
53 3
66 65293
59 0
71 6
68 12
59 65535
60 4
67 0
63 1
64 7
65 11
73 2
64 3
67 246
75 2
65 10
72 65533
56 0
58 22
59 255
60 4
75 9
61 14
73 5
68 0
67 65288
55 3
66 65526
72 65282
65 65286
74 255
54 11
71 65535
59 65285
66 65519
59 65526
62 7
69 247
66 11
73 5
71 65523
59 4
62 9
73 65286
59 252
74 65283
68 2
57 65285
75 65529
62 1
64 65535
66 3
56 5
61 13
75 2
67 65281
73 8
52 252
61 8
70 2
62 5
64 13
63 65530
59 10
71 10
72 9
63 17
62 254
76 253
66 65528
65 65517
69 4
63 2
66 1
68 7
74 3
47 10
56 4
62 11
64 65529
58 9
65 0
77 65288
56 4
65 0
59 253
62 65526
61 0
60 20
60 0
62 0
56 1
59 253
71 243
56 7
67 10
57 65531
56 65535
58 13
60 20
60 65280
58 7
53 7
75 65531
62 0
52 65531
60 11
70 254
65 65283
60 6
55 65533
68 6
70 65292
66 7
67 4
60 10
71 1
73 0
61 7
78 65283
63 65282
66 13
71 18
59 65284
64 2
63 11
58 251
72 65530
68 1
65 1
64 2
58 3
63 8
73 65281
60 6
56 11
62 65524
66 0
57 10
64 7
64 4
55 5
58 65286
54 65281
57 254
70 16
70 7
58 10
57 4
66 65283
60 1
73 65532
66 0
66 19
62 3
75 7
55 7
68 2
62 16
76 65282
54 65295
64 65523
80 65283
68 1
65 10
72 5
66 254
63 65296
56 6
62 65534
66 65283
51 17
69 10
64 65531
67 250
68 65280
69 2
68 65534
70 0
71 8
67 65282
55 0
60 9
69 65288
58 13
69 65289
61 17
54 14
55 251
63 7
54 8
58 4
45 7
61 65281
62 10
62 9
64 7
66 65286
69 254
74 18
55 65529
57 65529
74 254
59 5
57 19
69 65285
55 10
59 65280
57 0
72 5
64 255
56 7
59 65282
63 6
63 2
81 10
68 250
59 65534
72 9
67 7
54 8
53 65286
68 65281
67 1
62 9
66 7
58 65532
70 11
52 7
59 1
66 0
41 65297
59 65526
68 1
62 5
54 65533
48 7
59 5
56 254
58 7
67 65534
56 12
51 14
70 6
44 65532
67 65284
67 9
58 5
64 65535
70 3
69 65281
64 15
56 65534
64 1
69 10
70 10
66 65535
64 11
68 65294
53 0
71 65282
61 8
53 65534
67 9
69 17
66 8
66 246
64 65283
68 247
67 65286
71 252
63 65530
63 9
71 252
62 1
61 253
55 253
59 246
74 65534
53 255
61 65280
62 18
61 65532
77 4
68 5
61 65286
66 11
65 12
71 65535
63 7
54 65288
59 1
71 0
64 9
66 253
62 65288
51 65531
62 65534
73 5
66 3
59 1
64 65282
58 252
61 12
54 65529
68 65531
61 0
64 0
61 65282
62 65534
61 10
62 9
58 0
70 5
65 0
76 0
64 65285
71 252
44 65529
61 1
69 65291
59 9
59 4
59 1
60 65531
61 4
72 5
64 252
64 8
58 3
71 7
54 252
60 65283
63 6
55 1
56 12
76 13
62 4
56 10
56 27
64 65532
68 10
64 6
75 15
66 65533
60 12
69 253
68 3
68 253
56 4
59 0
75 65287
56 2
67 65529
56 9
66 6
58 7
63 253
64 65284
62 8
63 8
74 3
80 18
62 65285
55 8
51 1
69 254
53 17
71 65282
67 65530
63 8
76 8
67 65532
61 4
61 255
69 4
68 3
65 65280
60 13
72 2
75 12
67 65534
62 1
57 65281
62 65284
66 255
62 23
72 10
65 65288
74 65535
69 9
59 11
60 251
60 7
57 7
66 5
70 65285
59 19
57 11
61 12
64 11
60 5
70 9
70 65283
61 7
56 65532
66 255
67 6
66 65527
63 9
66 17
57 65533
60 0
63 7
61 6
75 251
56 2
60 65534
70 5
66 17
72 0
56 254
62 7
70 1
57 252
63 4
70 6
53 9
56 11
66 5
64 249
58 17
56 1
64 65531
68 249
61 7
64 65533
50 65533
57 6
68 246
57 15
60 9
69 65290
66 253
68 0
58 65530
58 65534
64 65526
69 6
64 6
58 11
66 65532
59 7
65 65531
59 15
70 65290
64 8
69 65284
61 65527
59 5
65 3
59 7
62 3
63 0
66 65287
52 0
63 254
60 255
69 8
62 6
49 244
52 65535
60 65280
58 5
64 2
68 6
62 13
61 65527
69 4
55 6
59 65532
61 254
55 18
58 65534
64 251
65 65283
72 3
59 65534
61 65533
64 5
59 65523
69 65280
61 65534
58 6
62 65535
70 6
67 4
80 3
75 65294
64 253
69 10
56 255
64 8
66 65531
66 2
66 65529
62 6
66 7
63 1
67 65284
69 6
